"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
4.5,-180,0,2.22951090171359
4.5,-180,2,2.30665326457724
4.5,-180,4,2.37705862500883
4.5,-180,6,2.44002583807347
4.5,-180,8,2.49494291753063
4.5,-180,10,2.5412986534013
4.5,-180,12,2.57869182698547
4.5,-180,14,2.6068377667271
4.5,-180,16,2.62557208548728
4.5,-180,18,2.63485154191318
4.5,-180,20,2.63475207067578
4.5,-180,22,2.62546412353299
4.5,-180,24,2.60728555102828
4.5,-180,26,2.5806123294185
4.5,-180,28,2.545927496276
4.5,-180,30,2.50378869927227
4.5,-180,32,2.45481478511991
4.5,-180,34,2.399671859752
4.5,-180,36,2.33905923772167
4.5,-180,38,2.27369567047176
4.5,-180,40,2.20430620213269
4.5,-180,42,2.13160995083969
4.5,-180,44,2.05630905639907
4.5,-180,46,1.97907897465154
4.5,-180,48,1.90056023807063
4.5,-180,50,1.82135174365663
4.5,-180,52,1.74200557526697
4.5,-180,54,1.66302331988231
4.5,-180,56,1.58485379713687
4.5,-180,58,1.50789208941025
4.5,-180,60,1.43247973607749
4.5,-180,62,1.35890593991005
4.5,-180,64,1.28740962554213
4.5,-180,66,1.21818218852786
4.5,-180,68,1.15137077781151
4.5,-180,70,1.08708196331304
4.5,-180,72,1.02538565267539
4.5,-180,74,0.966319135943478
4.5,-180,76,0.909891153050249
4.5,-180,78,0.856085895592343
4.5,-180,80,0.804866870745548
4.5,-180,82,0.756180570705098
4.5,-180,84,0.709959905293257
4.5,-180,86,0.666127368051945
4.5,-180,88,0.624597917054854
4.5,-180,90,0.585281560767121
4.5,-180,92,0.548085646580242
4.5,-180,94,0.512916855261021
4.5,-180,96,0.479682908639519
4.5,-180,98,0.448294000627979
4.5,-180,100,0.418663963344223
4.5,-180,102,0.390711180956995
4.5,-180,104,0.364359264129177
4.5,-180,106,0.339537497852906
4.5,-180,108,0.316181075278911
4.5,-180,110,0.294231130048068
4.5,-180,112,0.273634579813353
4.5,-180,114,0.254343794234777
4.5,-180,116,0.236316101834841
4.5,-180,118,0.219513151764583
4.5,-180,120,0.203900148743772
4.5,-180,122,0.189444982139685
4.5,-180,124,0.176117273216159
4.5,-180,126,0.163887367841232
4.5,-180,128,0.152725305160625
4.5,-180,130,0.142599795656955
4.5,-180,132,0.133477244324721
4.5,-180,134,0.125320856091884
4.5,-180,136,0.118089860813843
4.5,-180,138,0.111738893892278
4.5,-180,140,0.106217565625763
4.5,-180,142,0.101470247660255
4.5,-180,144,0.0974360983589155
4.5,-180,146,0.0940493406563964
4.5,-180,148,0.0912397962373891
4.5,-180,150,0.0889336690480642
4.5,-180,152,0.0870545596978016
4.5,-180,154,0.0855246808224717
4.5,-180,156,0.0842662326122607
4.5,-180,158,0.08320288813612
4.5,-180,160,0.0822613304799806
4.5,-180,162,0.0813727786439345
4.5,-180,164,0.0804744370803906
4.5,-180,166,0.0795108050010359
4.5,-180,168,0.0784347862358504
4.5,-180,170,0.0772085483728677
4.5,-180,172,0.0758040907992429
4.5,-180,174,0.0742034945490295
4.5,-180,176,0.072398841809405
4.5,-180,178,0.0703918086831919
4.5,-180,180,0.0681929504192395
4.5,-178,0,2.22951090171359
4.5,-178,2,2.304051053197
4.5,-178,4,2.37173820706882
4.5,-178,6,2.43190276788315
4.5,-178,8,2.48396657036149
4.5,-178,10,2.52745373663996
4.5,-178,12,2.56199908246673
4.5,-178,14,2.58735384425119
4.5,-178,16,2.60338859665499
4.5,-178,18,2.61009333176525
4.5,-178,20,2.60757477086756
4.5,-178,22,2.59605107372747
4.5,-178,24,2.57584419388197
4.5,-178,26,2.54737019826212
4.5,-178,28,2.51112792294902
4.5,-178,30,2.46768637245307
4.5,-178,32,2.41767128709225
4.5,-178,34,2.36175130231478
4.5,-178,36,2.30062410655009
4.5,-178,38,2.2350029725038
4.5,-178,40,2.16560399341228
4.5,-178,42,2.09313430366303
4.5,-178,44,2.01828150552698
4.5,-178,46,1.94170446364057
4.5,-178,48,1.86402556919861
4.5,-178,50,1.78582451909218
4.5,-178,52,1.70763360351674
4.5,-178,54,1.62993445044165
4.5,-178,56,1.5531561378086
4.5,-178,58,1.47767455493928
4.5,-178,60,1.40381287345099
4.5,-178,62,1.33184297467228
4.5,-178,64,1.26198767447619
4.5,-178,66,1.19442358672907
4.5,-178,68,1.12928447216105
4.5,-178,70,1.06666492930444
4.5,-178,72,1.00662429711509
4.5,-178,74,0.949190653940086
4.5,-178,76,0.894364813665905
4.5,-178,78,0.842124236341838
4.5,-178,80,0.792426786630055
4.5,-178,82,0.745214288540045
4.5,-178,84,0.700415838658325
4.5,-178,86,0.657950852216755
4.5,-178,88,0.617731826708068
4.5,-178,90,0.579666816313927
4.5,-178,92,0.543661617204213
4.5,-178,94,0.509621668911497
4.5,-178,96,0.477453680648845
4.5,-178,98,0.447066993827047
4.5,-178,100,0.418374693367401
4.5,-178,102,0.391294480938501
4.5,-178,104,0.365749323212406
4.5,-178,106,0.341667887872228
4.5,-178,108,0.318984779630651
4.5,-178,110,0.297640588136335
4.5,-178,112,0.277581759524412
4.5,-178,114,0.258760303645927
4.5,-178,116,0.241133349787281
4.5,-178,118,0.224662565017727
4.5,-178,120,0.209313451184652
4.5,-178,122,0.195054538964039
4.5,-178,124,0.18185650016465
4.5,-178,126,0.169691202523279
4.5,-178,128,0.158530734310686
4.5,-178,130,0.148346428947377
4.5,-178,132,0.139107922229829
4.5,-178,134,0.130782276400506
4.5,-178,136,0.123333205873176
4.5,-178,138,0.116720438688463
4.5,-178,140,0.11089924551217
4.5,-178,142,0.105820164062058
4.5,-178,144,0.101428941212203
4.5,-178,146,0.0976667077433044
4.5,-178,148,0.09447039196938
4.5,-178,150,0.0917733685874512
4.5,-178,152,0.0895063284958601
4.5,-178,154,0.0875983445376009
4.5,-178,156,0.0859780977490275
4.5,-178,158,0.0845752193689682
4.5,-178,160,0.0833216962183571
4.5,-178,162,0.0821532816703963
4.5,-178,164,0.0810108517673876
4.5,-178,166,0.0798416464276028
4.5,-178,168,0.0786003392671345
4.5,-178,170,0.0772498862763287
4.5,-178,172,0.0757621131647115
4.5,-178,174,0.0741180131458787
4.5,-178,176,0.0723077406215376
4.5,-178,178,0.0703303008538658
4.5,-178,180,0.0681929504192398
4.5,-176,0,2.22951090171359
4.5,-176,2,2.30135479958024
4.5,-176,4,2.36623158898589
4.5,-176,6,2.4235040468417
4.5,-176,8,2.47262857463004
4.5,-176,10,2.51316528337914
4.5,-176,12,2.54478558183578
4.5,-176,14,2.56727706837281
