"Freq [GHz]","dB(S(port1,port1)) []","dB(S(port2,port1)) []"
9,-0.580006681850243,-35.9624337037706
9.01,-0.591873183440895,-35.4643603403049
9.02,-0.604300206956791,-34.9607473795188
9.03,-0.617326248654709,-34.4516931764862
9.04,-0.630993355664493,-33.9372682420854
9.05,-0.645347536451149,-33.4175170072463
9.06,-0.660439228183545,-32.8924595558143
9.07,-0.676323830128295,-32.362093309006
9.08,-0.693062313829272,-31.8263946520806
9.09,-0.71072192279959,-31.285320500531
9.1,-0.729376976812635,-30.7388098090076
9.11,-0.749109798715873,-30.1867850315532
9.12,-0.770011785108575,-29.629153546769
9.13,-0.792184646347695,-29.0658090665009
9.14,-0.815741846328579,-28.4966330517729
9.15,-0.840810278515653,-27.9214961652719
9.16,-0.86753222200002,-27.3402597959916
9.17,-0.896067630211926,-26.7527776989895
9.18,-0.926596815647351,-26.1588978019616
9.19,-0.959323606977712,-25.5584642408973
9.2,-0.994479070668548,-24.9513196999184
9.21,-1.03232590828602,-24.3373081460526
9.22,-1.0731636636435,-23.7162780687744
9.23,-1.11733490152489,-23.0880863573065
9.24,-1.16523255264067,-22.4526029766627
9.25,-1.21730865841669,-21.8097166369031
9.26,-1.27408479472237,-21.159341689689
9.27,-1.33616450588442,-20.5014265322755
9.28,-1.4042481387599,-19.8359638513094
9.29,-1.47915052943102,-19.1630030959202
9.3,-1.56182205823857,-18.4826656285193
9.31,-1.65337364486963,-17.7951630564861
9.32,-1.75510629099892,-17.1008192880512
9.33,-1.86854577204478,-16.4000968639071
9.34,-1.99548299796419,-15.6936280653689
9.35,-2.13802035393789,-14.9822511498888
9.36,-2.29862391933958,-14.2670517580437
9.37,-2.48018074046071,-13.5494089962224
9.38,-2.68605915508626,-12.8310448324546
9.39,-2.92016835265592,-12.1140741500134
9.4,-3.18701068795615,-11.4010510089716
9.41,-3.49171652093801,-10.6950043739293
9.42,-3.840046314994,-9.99945395098804
9.43,-4.23833820080329,-9.31839430214426
9.44,-4.69337097703265,-8.65623393358587
9.45,-5.21210206867301,-8.01767686277607
9.46,-5.80122597096948,-7.4075387274806
9.47,-6.46647823395969,-6.83049888171001
9.48,-7.21157831904647,-6.29080386961081
9.49,-8.03665830361511,-5.79195366699171
9.5,-8.93597569272855,-5.33641521458352
9.51,-9.89472635602322,-4.92541208069533
9.52,-10.8850680053758,-4.55883042742422
9.53,-11.8624684608241,-4.23526036623966
9.54,-12.7655956105067,-3.95216434326963
