"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
60,-180,0,7.36752269720022
60,-180,2,7.29154095407514
60,-180,4,7.05530366366268
60,-180,6,6.67176983038018
60,-180,8,6.15893474586557
60,-180,10,5.53573336534528
60,-180,12,4.82055473954492
60,-180,14,4.03353400528622
60,-180,16,3.20153019071647
60,-180,18,2.36294729557527
60,-180,20,1.56925770940688
60,-180,22,0.881381088765718
60,-180,24,0.361277363512099
60,-180,26,0.06114801400864
60,-180,28,0.0136012747975247
60,-180,30,0.225709863610911
60,-180,32,0.678410257914331
60,-180,34,1.33088960860935
60,-180,36,2.12821247265029
60,-180,38,3.00987992600308
60,-180,40,3.91730011329855
60,-180,42,4.79897557285983
60,-180,44,5.61315670488405
60,-180,46,6.32842812934979
60,-180,48,6.92302471626572
60,-180,50,7.38364181999171
60,-180,52,7.70425093719101
60,-180,54,7.88512501584164
60,-180,56,7.93204192292588
60,-180,58,7.85552399800095
60,-180,60,7.66997639240255
60,-180,62,7.39266085703749
60,-180,64,7.04253189804267
60,-180,66,6.63902964919661
60,-180,68,6.20095089229461
60,-180,70,5.74550802435297
60,-180,72,5.28764850805909
60,-180,74,4.83966072996166
60,-180,76,4.41104977170294
60,-180,78,4.00863643455644
60,-180,80,3.63681744918578
60,-180,82,3.29792256227747
60,-180,84,2.99261137243064
60,-180,86,2.72026515540463
60,-180,88,2.47934284311753
60,-180,90,2.26768327014975
60,-180,92,2.08274639168311
60,-180,94,1.92179396285498
60,-180,96,1.78201534277503
60,-180,98,1.66060718077069
60,-180,100,1.55481739868765
60,-180,102,1.4619646817481
60,-180,104,1.37944504058491
60,-180,106,1.30473707507162
60,-180,108,1.23541723968041
60,-180,110,1.16919527571673
60,-180,112,1.10397740068151
60,-180,114,1.03796011240488
60,-180,116,0.969750067045942
60,-180,118,0.898495554591501
60,-180,120,0.824003892517742
60,-180,122,0.746809391545604
60,-180,124,0.668152732066685
60,-180,126,0.589839646359675
60,-180,128,0.513968622649461
60,-180,130,0.442553995086836
60,-180,132,0.377115758524383
60,-180,134,0.318346486386235
60,-180,136,0.265979013682756
60,-180,138,0.218947456490139
60,-180,140,0.175851668118878
60,-180,142,0.135616175254871
60,-180,144,0.0981192506358033
60,-180,146,0.0645128562167811
60,-180,148,0.0370100071792296
60,-180,150,0.0180959098599856
60,-180,152,0.00937625892264696
60,-180,154,0.0105056823818311
60,-180,156,0.018715719065323
60,-180,158,0.029301044872758
60,-180,160,0.0370436992649477
60,-180,162,0.0380996314210649
60,-180,164,0.0315593665970028
60,-180,166,0.0199182070328601
60,-180,168,0.00810316997274694
60,-180,170,0.00135535917346695
60,-180,172,0.00285389185882253
60,-180,174,0.0121759624611302
60,-180,176,0.0253657123957798
60,-180,178,0.0366496120811867
60,-180,180,0.041037486142265
60,-178,0,7.36752269720022
60,-178,2,7.29163800244804
60,-178,4,7.05565202914617
60,-178,6,6.67252560176819
60,-178,8,6.16026557629541
60,-178,10,5.537818459597
60,-178,12,4.82356560650028
60,-178,14,4.03758948637855
60,-178,16,3.20663008875891
60,-178,18,2.36890286216776
60,-178,20,1.5756458105507
60,-178,22,0.887545454908548
60,-178,24,0.36638499593903
60,-178,26,0.0642886957970605
60,-178,28,0.0139032018442132
60,-178,30,0.222441560284654
60,-178,32,0.67104825609492
60,-178,34,1.31914676750917
60,-178,36,2.11203516832881
60,-178,38,2.98942810743744
60,-178,40,3.89292185430652
60,-178,42,4.77118088176551
60,-178,44,5.58258894706955
60,-178,46,6.29582887486024
60,-178,48,6.88918964627131
60,-178,50,7.34936961033439
60,-178,52,7.67029105648454
60,-178,54,7.85213211970715
60,-178,56,7.90054346002219
60,-178,58,7.82590455600214
60,-178,60,7.64247861582354
60,-178,62,7.36739975214118
60,-178,64,7.01951771258723
60,-178,66,6.61819433502477
60,-178,68,6.18217403284219
60,-178,70,5.72863947948469
60,-178,72,5.27252640820347
60,-178,74,4.82612454060896
60,-178,76,4.39894884353259
60,-178,78,3.99783478880383
60,-178,80,3.62719562454964
60,-178,82,3.2893772803176
60,-178,84,2.98505365185823
60,-178,86,2.71361737853477
60,-178,88,2.4735351787157
60,-178,90,2.26264979598168
60,-178,92,2.07842123701059
60,-178,94,1.91810780029258
60,-178,96,1.77889259067096
60,-178,98,1.65796431668723
60,-178,100,1.55256280938411
60,-178,102,1.46000045455408
60,-178,104,1.37767099755316
60,-178,106,1.30305712659668
60,-178,108,1.23374776190583
60,-178,110,1.1674746997097
60,-178,112,1.10217559636252
60,-178,114,1.03608558123327
60,-178,116,0.967852620729668
60,-178,118,0.896662293409893
60,-178,120,0.822347124516721
60,-178,122,0.745446743408447
60,-178,124,0.667181937327108
60,-178,126,0.589312870829407
60,-178,128,0.513872908193285
60,-178,130,0.442804558623526
60,-178,132,0.377566791929628
60,-178,134,0.318819738922537
60,-178,136,0.266304737087061
60,-178,138,0.219007107439864
60,-178,140,0.175609328956488
60,-178,142,0.135127641859935
60,-178,144,0.0975142617022248
60,-178,146,0.063955077949787
60,-178,148,0.0366476478815626
60,-178,150,0.0180195853227165
60,-178,152,0.00959799470364949
60,-178,154,0.010964636281032
60,-178,156,0.0193059265809943
60,-178,158,0.029908796501254
60,-178,160,0.0375802473756911
60,-178,162,0.0385190087817741
60,-178,164,0.0318585162273095
60,-178,166,0.0201235706466238
60,-178,168,0.00825159372095218
60,-178,170,0.00147711395821957
60,-178,172,0.0029630488430837
60,-178,174,0.0122700050499582
60,-178,176,0.0254331085202149
60,-178,178,0.0366814371289106
60,-178,180,0.041037486142265
60,-176,0,7.36752269720022
60,-176,2,7.29181296345625
60,-176,4,7.0563416225245
60,-176,6,6.67410948559095
60,-176,8,6.16319706626137
60,-176,10,5.54263665212878
60,-176,12,4.83085144738854
60,-176,14,4.04783864532889
60,-176,16,3.2200488221097
60,-176,18,2.38517781857797
60,-176,20,1.59376973692131
60,-176,22,0.905777507181837
60,-176,24,0.382384089419501
60,-176,26,0.0753982303192394
60,-176,28,0.0175131014188255
60,-176,30,0.216331705774466
60,-176,32,0.653632869082813
60,-176,34,1.28958126823247
60,-176,36,2.07019460128656
60,-176,38,2.93579987911966
60,-176,40,3.82846564570703
60,-176,42,4.69719752652271
60,-176,44,5.50061814644897
60,-176,46,6.20757465493698
60,-176,48,6.7964603446082
60,-176,50,7.25401780485451
60,-176,52,7.57414522003668
60,-176,54,7.75692079142866
60,-176,56,7.80781986053036
60,-176,58,7.7369824672118
60,-176,60,7.55838893177247
60,-176,62,7.28887286183353
60,-176,64,6.9469917752831
60,-176,66,6.55184519608445
60,-176,68,6.12195991130884
60,-176,70,5.67435279757048
60,-176,72,5.22384586646274
60,-176,74,4.78266217741798
60,-176,76,4.36028876607024
60,-176,78,3.96356208248344
60,-176,80,3.59691538560908
60,-176,82,3.26272468839957
60,-176,84,2.961696541831
60,-176,86,2.69325298470632
60,-176,88,2.45588273209777
60,-176,90,2.24744056950003
60,-176,92,2.06538754166205
60,-176,94,1.90697239014265
60,-176,96,1.76935995153641
60,-176,98,1.64971536860343
60,-176,100,1.54525458389784
60,-176,102,1.45327221639092
60,-176,104,1.37115794295704
60,-176,106,1.29641208110393
60,-176,108,1.22667012659395
60,-176,110,1.15974425372725
60,-176,112,1.09368680285416
60,-176,114,1.02687611611819
60,-176,116,0.958118518628766
60,-176,118,0.886752102784933
60,-176,120,0.812729480742339
60,-176,122,0.736650189823222
60,-176,124,0.659712385478093
60,-176,126,0.583561607934817
60,-176,128,0.510034411631424
60,-176,130,0.440825910344719
60,-176,132,0.377146887220116
60,-176,134,0.319465945534484
60,-176,136,0.267438881549496
60,-176,138,0.22009608451953
60,-176,140,0.176284402927416
60,-176,142,0.135256231415494
60,-176,144,0.0972009258095295
60,-176,146,0.0634714964561747
60,-176,148,0.0363164883912984
60,-176,150,0.0180939778625464
60,-176,152,0.010179121375477
60,-176,154,0.0119835990173155
60,-176,156,0.0205694146816255
60,-176,158,0.0311830157768771
60,-176,160,0.0386752148734892
60,-176,162,0.0393403765501903
60,-176,164,0.0324126428479609
60,-176,166,0.0204835567423438
60,-176,168,0.00850692522339258
60,-176,170,0.00169181802780825
60,-176,172,0.00315820655853977
60,-176,174,0.0124323838140886
60,-176,176,0.025539731229617
60,-176,178,0.0367246648393766
60,-176,180,0.041037486142265
60,-174,0,7.36752269720022
60,-174,2,7.29206498462093
60,-174,4,7.05736858126138
60,-174,6,6.6765110081844
60,-174,8,6.1677063644529
60,-174,10,5.55014489933297
60,-174,12,4.84234090965895
60,-174,14,4.06417714980967
60,-174,16,3.24165292686632
60,-174,18,2.41162653386886
60,-174,20,1.62350366245998
60,-174,22,0.936015879507508
60,-174,24,0.409328675950335
60,-174,26,0.0946946839035677
60,-174,28,0.0248514462550864
60,-174,30,0.208026343928082
60,-174,32,0.627042652525492
60,-174,34,1.24329696187251
60,-174,36,2.00400173989262
60,-174,38,2.85048656453905
60,-174,40,3.72556842421988
60,-174,42,4.57876456104218
60,-174,44,5.36903246365794
60,-174,46,6.06544105786167
60,-174,48,6.64653291532867
60,-174,50,7.09913682869076
60,-174,52,7.41716006741911
60,-174,54,7.60059098513524
60,-174,56,7.65470190979926
60,-174,58,7.58931944894261
60,-174,60,7.41802145361161
60,-174,62,7.15718534176662
60,-174,64,6.82489994982215
60,-174,66,6.43982255799927
60,-174,68,6.02009460217807
60,-174,70,5.58242330824036
60,-174,72,5.14140361048227
60,-174,74,4.70911081591128
60,-174,76,4.29495307722435
60,-174,78,3.90574229580094
60,-174,80,3.54592562974223
60,-174,82,3.21791622974017
60,-174,84,2.92246777007837
60,-174,86,2.65904874578312
60,-174,88,2.42618580852523
60,-174,90,2.22175806338867
60,-174,92,2.04323479218429
60,-174,94,1.88785696616816
60,-174,96,1.75276824589445
60,-174,98,1.63510435984718
60,-174,100,1.53205133458094
60,-174,102,1.44088349445741
60,-174,104,1.35899179387195
60,-174,106,1.28391204513578
60,-174,108,1.21336094269386
60,-174,110,1.14528530874424
60,-174,112,1.07792649512372
60,-174,114,1.00989724453553
60,-174,116,0.940262659863357
60,-174,118,0.868610821290056
60,-174,120,0.7950932299109
60,-174,122,0.720412554190106
60,-174,124,0.645737545701995
60,-174,126,0.572534826802653
60,-174,128,0.502325701401085
60,-174,130,0.436401698508259
60,-174,132,0.375559695817598
60,-174,134,0.319936286002824
60,-174,136,0.269019024292883
60,-174,138,0.221878725571668
60,-174,140,0.177600111447127
60,-174,142,0.135801059422544
60,-174,144,0.0970539854667669
60,-174,146,0.0629977600709556
60,-174,148,0.0359903540399999
60,-174,150,0.0183079667461335
60,-174,152,0.0111062594310695
60,-174,154,0.013538491965822
60,-174,156,0.0224714052160203
60,-174,158,0.0330836870857529
60,-174,160,0.0402904059696268
60,-174,162,0.0405328375573226
60,-174,164,0.0332004872140209
60,-174,166,0.0209858607093524
60,-174,168,0.00886331587523652
60,-174,170,0.00199723296841888
60,-174,172,0.00343859826848502
60,-174,174,0.0126627219228487
60,-174,176,0.0256853193166546
60,-174,178,0.0367791844720663
60,-174,180,0.041037486142265
60,-172,0,7.36752269720022
60,-172,2,7.29239278287928
60,-172,4,7.05872694982405
60,-172,6,6.67971371821868
60,-172,8,6.17375705462698
60,-172,10,5.56027385750946
60,-172,12,4.8579180973728
60,-172,14,4.0864343798867
60,-172,16,3.27122262133909
60,-172,18,2.4480068662035
60,-172,20,1.66463422482417
60,-172,22,0.978147686097536
60,-172,24,0.447288125891803
60,-172,26,0.122507431210605
60,-172,28,0.0365682240948015
60,-172,30,0.198531564545774
60,-172,32,0.592649086739589
60,-172,34,1.18201843587609
60,-172,36,1.91550743717207
60,-172,38,2.73582956740029
60,-172,40,3.58681954429834
60,-172,42,4.41866799549051
60,-172,44,5.19075092038041
60,-172,46,5.87240154682949
60,-172,48,6.44234278497482
60,-172,50,6.88752337062268
60,-172,52,7.20189426527551
60,-172,54,7.38537694190185
60,-172,56,7.44303646358674
60,-172,58,7.38434269500099
60,-172,60,7.22238458043962
60,-172,62,6.97295826309492
60,-172,64,6.65353136912277
60,-172,66,6.28215369890313
60,-172,68,5.8764183281645
60,-172,70,5.45257457506399
60,-172,72,5.02486541890034
60,-172,74,4.60512126166066
60,-172,76,4.20260246101214
60,-172,78,3.82405331082444
60,-172,80,3.47391344993284
60,-172,82,3.15462834296314
60,-172,84,2.86700546187046
60,-172,86,2.61057331937953
60,-172,88,2.38391314046945
60,-172,90,2.18494519451848
60,-172,92,2.011162167769
60,-172,94,1.85980982802858
60,-172,96,1.72802062225652
60,-172,98,1.61290908551345
60,-172,100,1.51163946758094
60,-172,102,1.42147620063952
60,-172,104,1.33982701750998
60,-172,106,1.26428682948007
60,-172,108,1.19268792851961
60,-172,110,1.12315870454039
60,-172,112,1.05418894811353
60,-172,114,0.984695206871375
60,-172,116,0.914075123713636
60,-172,118,0.842236089152524
60,-172,120,0.769582087488235
60,-172,122,0.696944676182611
